url,Prompt
https://image.lexica.art/sm2/a59cb253-a6ce-41fa-8e95-0e47fbdd5d94,femme blanche futuriste 4k réaliste
https://image.lexica.art/sm2/db7f4d9a-f060-41a9-8602-ee91ba034500,"travel artwork for zion national park, flat colors"
https://image.lexica.art/sm2/7327f975-3e64-4fbb-bba7-45021503d858,"Vintage 90's anime style. cluttered starship interior; crew inside a starship; by Hajime Sorayama, Greg Tocchini, Virgil Finlay, sci-fi, colors, neon lights."
https://image.lexica.art/sm2/6861898d-10b8-4c65-8a1e-22fa9e43915a,"stunning ice goddess red eyes purple hair, With dramatic lighting, 8k, Very detailed, Cinematic lighting, Unreal engine, Photorealistic, Hyperrealistic, Sharp focus, Intricate detail, Vivid landscape, High chaos,"
https://image.lexica.art/sm2/19fb96a9-8b1b-42a7-85ef-3e38dfc493aa,"Rei Ayanami, Star Destroyer photo shoot"
https://image.lexica.art/sm2/3b3dbadb-2359-4c03-a2c6-9f393294ca93,"stylish haute couture outfit worn by model in the style of 90's vintage anime, surrealism, akira style. detailed line art. fine details. inside a space ship."
https://image.lexica.art/sm2/fd157da5-c84e-474b-a230-b579793abaed,"Cockatrice, FHD, detailed matte painting, deep color, fantastical, intricate detail, splash screen, complementary colors, fantasy concept art, 32k resolution trending on Artstation Unreal Engine 5"
https://image.lexica.art/sm2/873480c1-b4e8-4650-af5a-59a53523bb1e,"Michael Jackson singing at a standing microphone on a super-wide stage in a really big arena, by conrad roset, greg rutkowski, makoto shinkai, low poly, abstract, style of black and white drawing with red pops of color"
https://image.lexica.art/sm2/cb35beb7-5154-4f1e-a44a-7d1eb7f9c578,"""Stormtrooper Break Room"" by Syd Mead, cold color palette, muted colors, detailed, 8k"
https://image.lexica.art/sm2/8544c56b-8991-43b2-85b3-e864c0f42463,"""Extremely Ultrarealistic Photorealistic cute creature holding a flower in a vast jungle, by James Jean and Android Jones: Jeff Koons: Erin Hanson: Joe Fenton: Dan Mumford: professional photography, natural lighting, volumetric lighting maximalist photoillustration 8k resolution concept art intricately detailed, complex, elegant, expansive, fantastical:"""
https://image.lexica.art/sm2/5e3e2e8b-ab6f-436c-906f-275dbddd2c11,"peasant and dragon combat, wood cutting style , viking era, bevel with rune"
https://image.lexica.art/sm2/0c7dfdfc-fdf4-4afe-aba5-662e27f11630,Capybara in a suit walks in New York
https://image.lexica.art/sm2/3b14f3ea-20bc-40eb-81ab-616368afb1ca,"fractal structure, tangled mandala vortex, hyperdetailed, photorealistic,by Gerardo Dottori and Odilon Redon, octane render, zbrush, art alien, extremely detailed, pastel colors, trending on artstation"
https://image.lexica.art/sm2/9d0b89a8-c98e-47ab-bd49-73f328465f4a,robot militar todoterreno ultra realista
https://image.lexica.art/sm2/2f562c83-f119-4ce6-bf33-66874976f310,"simon stalenhag,8k resoultion,hyper realstic , motorcycle,car. spaceship"
